STUDENT ID,SALUTATION,GENDER,NATIONALITY,DOB,HIGHEST QUALIFICATION,NAME OF QUALIFICATION AND INSTITUTION,DATE ATTAINED HIGHEST QUALIFICATION,DESIGNATION,INTAKE NO,COMMENCEMENT DATE,COMPLETION DATE,FULL-TIME OR PART-TIME,COURSE FUNDING,REGISTRATION FEE,PAYMENT MODE,COURSE FEE,GPA,CITIZENSHIP_STATUS,date_diff,COURSE,Age,GPA Category,Job Category,Age Group
2020/1101-013/001,Ms,F,Singaporean,3/4/1978,Certificate,"Certificate in Office Skills, ITE",6/11/2016,"Snr Associate, Client Services",13th,6/1/2020,6/4/2021,Part-Time,Subsidiesed,107,NETS,1712,3,L,456,Diploma in Business Administration,46,3 - 3.5,Customer Service and Sales,40 and Above
2020/1101-013/002,Ms,F,Singaporean,23/3/1966,Certificate,"WSQ Higher Certificate in Human Resources, WPLN, Fundamentals Certificate in Early Childhood Care and Education",6/2/2018,Admin Officer,13th,6/1/2020,6/4/2021,Part-Time,Individual,107,NETS,1712,2.5,L,456,Diploma in Business Administration,58,2-Mar,Administration,40 and Above
2020/1101-013/003,Ms,F,Singaporean,12/4/1988,Certificate,"Nitec in Service Skills (Office), ITE",6/11/2016,Admin Assistant,13th,6/1/2020,6/4/2021,Part-Time,Sponsored,107,Bank Transfer,1712,2,L,456,Diploma in Business Administration,36,2-Mar,Administration,25 to 40
2020/1101-014/004,Ms,F,Singaporean,27/11/1991,Degree,"Bachelor Science (Facilities & Events Management), SUSS",10/6/2017,HR Administrator,14th,10/3/2020,9/6/2021,Part-Time,Subsidiesed,107,NETS,1212,2.5,L,456,Diploma in Business Administration,32,2-Mar,Human Resources,25 to 40
2020/1101-014/005,Ms,F,Singaporean,23/4/1985,Diploma,"Diploma in Procurement and Supply Management, SIPMM Academy",10/8/2016,Purchasing Executive,14th,10/3/2020,9/6/2021,Part-Time,Subsidiesed,107,NETS,1712,2.4,L,456,Diploma in Business Administration,39,2-Mar,Others,25 to 40
2020/1101-014/006,Ms,F,Permanent Resident,15/3/1981,Certificate,"Certificate in Payroll Administration, SHRI Academy, SPM",10/8/2016,HR Executive,14th,10/3/2020,9/6/2021,Part-Time,Sponsored,107,GIRO,1604,1.8,F,456,Diploma in Business Administration,43,1-Feb,Human Resources,40 and Above
2020/1101-014/008,Ms,F,Foreigner,21/1/1994,Master,"Master of Public Administration, San Jose State University",10/3/2018,PR Executive,14th,10/3/2020,9/6/2021,Part-Time,Individual,107,Cr Card,1712,3,F,456,Diploma in Business Administration,30,3 - 3.5,Marketing and Public Relations,25 to 40
2020/1101-015/009,Ms,F,Singaporean,7/9/1975,Degree,"Bachelor of Science in Business & Mgt Studies, University of Bradford",6/12/2017,HR Executive,15th,6/7/2020,5/10/2021,Part-Time,Subsidiesed,107,GIRO,1712,2.5,L,456,Diploma in Business Administration,48,2-Mar,Human Resources,40 and Above
2020/1101-015/010,Ms,F,Singaporean,6/9/1977,Degree,"Bachelor of Business (Advertising), Queensland University of Technology",6/10/2018,No Designation,15th,6/7/2020,5/10/2021,Part-Time,Subsidiesed,107,GIRO,1712,2.2,L,456,Diploma in Business Administration,46,2-Mar,Others,40 and Above
2020/1101-015/011,Ms,F,Singaporean,12/5/1991,Diploma,"Diploma in Environmental Science, Republic Polytechnic",6/9/2016,No Designation,15th,6/7/2020,5/10/2021,Part-Time,Individual,107,GIRO,1712,3.1,L,456,Diploma in Business Administration,33,3 - 3.5,Others,25 to 40
