STUDENT ID,SALUTATION,GENDER,NATIONALITY,DOB,HIGHEST QUALIFICATION,NAME OF QUALIFICATION AND INSTITUTION,DATE ATTAINED HIGHEST QUALIFICATION,DESIGNATION,INTAKE NO,COMMENCEMENT DATE,COMPLETION DATE,FULL-TIME OR PART-TIME,COURSE FUNDING,REGISTRATION FEE,PAYMENT MODE,COURSE FEE,GPA,CITIZENSHIP_STATUS,date_diff,COURSE,Age,GPA Category,Job Category,Age Group
2020/1101-013/001,Ms,F,Singaporean,1978-04-03,Certificate,"Certificate in Office Skills, ITE",2016-11-06,"Snr Associate, Client Services",13th,2020-01-06,2021-04-06,Part-Time,Subsidiesed,107,NETS,1712,3.0,L,456,Diploma in Business Administration,46,3 - 3.5,Customer Service and Sales,40 and Above
2020/1101-013/002,Ms,F,Singaporean,1966-03-23,Certificate,"WSQ Higher Certificate in Human Resources, WPLN, Fundamentals Certificate in Early Childhood Care and Education",2018-02-06,Admin Officer,13th,2020-01-06,2021-04-06,Part-Time,Individual,107,NETS,1712,2.5,L,456,Diploma in Business Administration,58,2 - 3,Administration,40 and Above
2020/1101-013/003,Ms,F,Singaporean,1988-04-12,Certificate,"Nitec in Service Skills (Office), ITE",2016-11-06,Admin Assistant,13th,2020-01-06,2021-04-06,Part-Time,Sponsored,107,Bank Transfer,1712,2.0,L,456,Diploma in Business Administration,36,2 - 3,Administration,25 to 40
2020/1101-014/004,Ms,F,Singaporean,1991-11-27,Degree,"Bachelor Science (Facilities & Events Management), SUSS",2017-06-10,HR Administrator,14th,2020-03-10,2021-06-09,Part-Time,Subsidiesed,107,NETS,1212,2.5,L,456,Diploma in Business Administration,32,2 - 3,Human Resources,25 to 40
2020/1101-014/005,Ms,F,Singaporean,1985-04-23,Diploma,"Diploma in Procurement and Supply Management, SIPMM Academy",2016-08-10,Purchasing Executive,14th,2020-03-10,2021-06-09,Part-Time,Subsidiesed,107,NETS,1712,2.4,L,456,Diploma in Business Administration,39,2 - 3,Others,25 to 40
2020/1101-014/006,Ms,F,Permanent Resident,1981-03-15,Certificate,"Certificate in Payroll Administration, SHRI Academy, SPM",2016-08-10,HR Executive,14th,2020-03-10,2021-06-09,Part-Time,Sponsored,107,GIRO,1604,1.8,F,456,Diploma in Business Administration,43,1 - 2,Human Resources,40 and Above
2020/1101-014/008,Ms,F,Foreigner,1994-01-21,Master,"Master of Public Administration, San Jose State University",2018-03-10,PR Executive,14th,2020-03-10,2021-06-09,Part-Time,Individual,107,Cr Card,1712,3.0,F,456,Diploma in Business Administration,30,3 - 3.5,Marketing and Public Relations,25 to 40
2020/1101-015/009,Ms,F,Singaporean,1975-09-07,Degree,"Bachelor of Science in Business & Mgt Studies, University of Bradford",2017-12-06,HR Executive,15th,2020-07-06,2021-10-05,Part-Time,Subsidiesed,107,GIRO,1712,2.5,L,456,Diploma in Business Administration,48,2 - 3,Human Resources,40 and Above
2020/1101-015/010,Ms,F,Singaporean,1977-09-06,Degree,"Bachelor of Business (Advertising), Queensland University of Technology",2018-10-06,No Designation,15th,2020-07-06,2021-10-05,Part-Time,Subsidiesed,107,GIRO,1712,2.2,L,456,Diploma in Business Administration,46,2 - 3,Others,40 and Above
2020/1101-015/011,Ms,F,Singaporean,1991-05-12,Diploma,"Diploma in Environmental Science, Republic Polytechnic",2016-09-06,No Designation,15th,2020-07-06,2021-10-05,Part-Time,Individual,107,GIRO,1712,3.1,L,456,Diploma in Business Administration,33,3 - 3.5,Others,25 to 40
